n 5000
1924-01-11 M 2830
1924-01-16 M 855
1924-02-12 M 629
1924-02-26 F 2834
1924-03-04 M 2745
1924-03-22 M 1033
1924-03-23 F 2144
1924-03-28 M 669
1924-04-12 M 1852
1924-04-16 F 3132
1924-04-18 M 1362
1924-04-22 M 1763
1924-04-27 F 569
1924-05-01 M 3265
1924-05-05 F 1067
1924-05-07 F 1826
1924-05-24 M 2547
1924-05-30 F 3007
1924-06-02 M 338
1924-06-10 F 1663
1924-06-26 F 421
1924-07-28 M 3241
1924-08-01 F 3203
1924-08-06 F 2325
1924-08-06 M 1950
1924-08-31 F 3081
1924-09-08 F 3024
1924-09-13 F 3003
1924-09-29 M 1555
1924-10-04 F 2407
1924-10-21 M 1034
1924-10-25 F 211
1924-11-02 M 1508
1924-11-16 F 2368
1924-11-20 M 2167
1924-11-24 F 864
1924-11-26 F 2261
1924-12-04 M 1665
1924-12-05 M 3047
1924-12-07 F 2231
1924-12-10 F 295
1924-12-12 F 857
1924-12-15 M 1662
1924-12-16 M 1867
1924-12-17 M 764
1925-01-05 F 1500
1925-01-13 F 1490
1925-01-25 F 946
1925-01-29 M 1719
1925-02-13 F 2499
1925-02-17 F 971
1925-02-18 F 1832
1925-02-19 F 1113
1925-03-01 M 1946
1925-03-03 M 1581
1925-03-09 F 1759
1925-03-13 F 2499
1925-03-24 M 676
1925-04-07 F 1722
1925-04-11 F 1317
1925-04-14 F 2293
1925-04-20 F 716
1925-05-01 M 20
1925-05-06 F 2406
1925-05-12 F 1799
1925-05-22 F 237
1925-05-26 F 2498
1925-06-30 F 1857
1925-07-07 M 2295
1925-08-08 F 3059
1925-08-25 M 291
1925-09-06 M 2499
1925-09-08 M 429
1925-09-27 M 1951
1925-10-10 F 1336
1925-10-23 M 2318
1925-10-24 M 2265
1925-10-27 F 3166
1925-10-30 M 2698
1925-12-16 M 721
1925-12-31 F 1506
1925-12-31 M 2502
1926-01-01 F 1226
1926-01-15 M 747
1926-01-19 F 1216
1926-01-19 M 1135
1926-01-30 M 2631
1926-02-07 M 2033
1926-02-19 M 907
1926-02-27 F 1286
1926-03-01 M 638
1926-03-14 M 1689
1926-03-24 F 1904
1926-03-26 F 1150
1926-03-29 F 211
1926-03-29 M 1327
1926-03-31 F 798
1926-04-03 M 932
1926-04-05 M 388
1926-04-07 F 3266
1926-04-19 F 1801
1926-05-07 M 41
1926-05-08 F 2979
1926-05-10 F 3061
1926-05-23 F 1401
1926-06-07 M 2195
1926-06-17 F 1906
1926-07-19 M 1309
1926-07-26 M 2712
1926-08-04 M 1153
1926-08-09 F 1377
1926-08-17 M 320
1926-09-03 M 1718
1926-09-03 F 2667
1926-09-06 F 472
1926-09-07 M 101
1926-09-07 F 276
1926-09-14 M 2573
1926-09-16 M 1033
1926-09-17 M 1487
1926-10-01 F 903
1926-10-21 M 1948
1926-10-21 F 1177
1926-11-01 M 2220
1926-11-12 M 1898
1926-11-15 F 2252
1926-11-17 M 2248
1926-11-18 M 2063
1926-11-26 F 725
1926-11-29 F 365
1926-11-29 F 205
1926-11-30 F 2973
1926-11-30 F 1859
1926-12-01 F 2622
1926-12-05 M 2538
1926-12-22 M 996
1927-01-01 M 2119
1927-01-02 F 2929
1927-01-06 F 1578
1927-01-09 F 1867
1927-01-17 M 2472
1927-01-24 F 131
1927-01-26 F 2882
1927-01-29 F 1266
1927-01-31 F 1713
1927-02-01 F 1250
1927-02-02 F 2211
1927-02-04 M 1035
1927-02-10 M 563
1927-02-16 F 2331
1927-02-20 M 43
1927-02-22 F 2316
1927-02-23 F 2061
1927-02-25 M 3190
1927-03-05 M 387
1927-03-09 M 1737
1927-03-11 F 372
1927-03-19 M 2725
1927-03-19 M 1828
1927-04-02 F 3094
1927-04-09 F 2446
1927-04-10 M 1317
1927-05-05 M 3063
1927-05-07 F 2554
1927-05-21 F 1020
1927-05-29 F 2084
1927-06-01 M 2336
1927-06-04 M 714
1927-06-14 M 2560
1927-06-26 M 1869
1927-07-07 M 416
1927-07-16 M 1625
1927-08-12 F 2432
1927-08-14 F 1704
1927-08-16 F 2856
1927-08-28 M 2477
1927-09-08 F 384
1927-09-15 F 2901
1927-09-20 M 1592
1927-10-02 F 2229
1927-10-12 F 1398
1927-10-17 M 3219
1927-10-30 M 202
1927-11-09 F 780
1927-12-01 M 2520
1927-12-02 M 794
1927-12-12 F 3060
1927-12-12 F 2153
1927-12-13 M 3225
1928-01-01 M 1882
1928-01-01 M 2073
1928-01-03 F 3117
1928-01-12 F 2508
1928-01-25 M 1475
1928-02-08 M 1064
1928-02-26 F 701
1928-03-03 M 2461
1928-03-09 M 1661
1928-03-09 F 899
1928-03-14 F 1452
1928-03-19 F 2678
1928-03-20 F 3224
1928-03-20 M 1961
1928-03-28 M 2116
1928-03-28 F 723
1928-04-04 M 2420
1928-04-12 M 2050
1928-04-22 F 2299
1928-04-23 M 2757
1928-05-16 F 1263
1928-05-20 F 914
1928-06-01 F 3189
1928-06-12 F 1327
1928-06-26 F 638
1928-07-10 F 2375
1928-08-19 F 2359
1928-08-30 F 1871
1928-09-10 F 1425
1928-09-16 F 1596
1928-09-17 M 100
1928-09-21 F 2698
1928-10-11 F 2433
1928-10-20 M 271
1928-10-28 M 2089
1928-10-31 M 2124
1928-11-08 F 964
1928-11-10 M 1319
1928-11-11 F 1957
1928-11-14 M 3270
1928-11-14 M 1599
1928-11-17 F 1472
1928-11-20 F 62
1928-12-04 F 2996
1928-12-05 F 1884
1928-12-09 M 3067
1928-12-17 F 1309
1928-12-31 M 2815
1929-01-01 F 2250
1929-01-03 F 2026
1929-01-05 M 1623
1929-01-10 F 1487
1929-01-15 M 2773
1929-01-29 M 2427
1929-02-22 M 3171
1929-02-23 M 835
1929-02-23 M 1937
1929-03-02 M 2837
1929-03-09 F 1601
1929-03-14 M 339
1929-03-15 F 2472
1929-03-30 F 2906
1929-03-30 M 1155
1929-04-06 F 1254
1929-05-02 M 2209
1929-05-04 F 996
1929-05-07 M 76
1929-05-11 M 2809
1929-05-14 F 2263
1929-05-14 M 2562
1929-06-16 F 412
1929-06-27 M 2938
1929-07-15 M 1892
1929-07-31 F 2557
1929-08-06 F 637
1929-08-11 M 1308
1929-08-20 F 3105
1929-09-03 F 2323
1929-09-06 M 2352
1929-09-30 M 614
1929-10-06 F 1476
1929-10-23 M 1190
1929-11-13 M 2756
1929-11-17 M 523
1929-11-24 M 3060
1929-12-02 F 2249
1930-01-01 F 748
1930-01-02 F 2544
1930-01-30 M 2000
1930-02-02 M 290
1930-02-11 F 1690
1930-02-14 M 1013
1930-02-21 F 2939
1930-02-27 M 2264
1930-03-01 F 603
1930-03-16 M 570
1930-04-04 F 2774
1930-04-14 F 1996
1930-04-15 M 2724
1930-04-26 M 2926
1930-04-29 F 1928
1930-05-15 F 3211
1930-05-15 M 1336
1930-05-22 M 1224
1930-05-26 M 1693
1930-05-27 M 1192
1930-06-05 F 2075
1930-06-14 F 1344
1930-06-24 F 1209
1930-06-25 M 720
1930-07-03 F 619
1930-07-04 F 2899
1930-07-05 M 1562
1930-07-11 F 412
1930-07-28 M 1855
1930-07-29 F 1195
1930-07-31 F 609
1930-08-07 F 1616
1930-08-09 F 2959
1930-08-10 F 2268
1930-08-13 F 1285
1930-09-03 F 2870
1930-09-07 F 289
1930-09-13 M 978
1930-09-13 F 2552
1930-09-28 M 2253
1930-10-15 F 2806
1930-10-16 F 1783
1930-10-17 M 166
1930-10-28 F 1136
1930-11-09 M 2276
1930-11-18 F 103
1930-11-20 F 84
1930-12-02 M 1990
1930-12-02 F 2534
1930-12-07 M 1441
1930-12-10 M 1548
1930-12-12 M 982
1930-12-20 M 1155
1931-01-17 F 7443
1931-02-02 F 4368
1931-02-07 M 2069
1931-02-19 M 5531
1931-02-24 F 10302
1931-03-05 M 12370
1931-03-11 M 3928
1931-03-19 F 8500
1931-03-30 M 8652
1931-04-10 M 5895
1931-04-13 M 8853
1931-04-16 M 6592
1931-05-08 M 2013
1931-05-14 F 3418
1931-05-14 F 1446
1931-06-29 F 11926
1931-07-01 F 440
1931-07-08 F 12764
1931-07-11 F 10085
1931-07-19 M 12866
1931-07-20 F 10735
1931-07-21 F 6568
1931-07-25 M 9767
1931-08-01 F 5891
1931-09-05 F 4228
1931-09-20 M 12176
1931-10-10 M 9912
1931-10-31 M 9876
1931-11-08 M 4611
1931-11-14 F 11511
1931-11-17 M 5142
1931-11-17 F 6591
1931-11-20 M 8989
1931-12-02 F 9260
1931-12-10 M 3888
1931-12-11 F 7741
1931-12-13 M 8356
1931-12-17 M 12186
1931-12-21 M 9766
1932-01-03 M 7911
1932-01-04 M 12047
1932-01-08 F 5162
1932-01-14 F 1343
1932-01-21 M 13073
1932-01-23 F 4664
1932-01-25 F 9136
1932-01-27 F 3928
1932-01-29 F 11822
1932-02-08 F 953
1932-02-10 M 557
1932-02-14 M 792
1932-02-17 M 9646
1932-02-25 M 4857
1932-03-02 F 7859
1932-03-15 F 183
1932-05-01 M 12934
1932-05-05 M 8141
1932-05-13 M 8150
1932-05-13 M 3192
1932-05-18 F 9354
1932-05-28 F 2846
1932-05-30 M 7065
1932-05-31 F 5794
1932-06-03 F 8241
1932-06-03 F 8028
1932-06-03 M 2183
1932-06-04 F 6483
1932-06-12 F 8720
1932-06-13 F 7301
1932-06-13 M 10910
1932-06-14 M 2420
1932-06-19 F 6684
1932-06-20 F 7579
1932-06-28 M 9877
1932-06-28 F 12819
1932-07-23 F 9788
1932-08-03 M 11516
1932-08-31 F 1439
1932-09-09 M 6524
1932-09-22 M 4470
1932-09-27 M 3689
1932-10-13 F 11679
1932-10-21 M 49
1932-10-24 F 10608
1932-11-07 F 3368
1932-11-08 M 8989
1932-11-12 M 9380
1932-11-14 F 6072
1932-11-19 F 11533
1932-11-21 M 10700
1932-11-23 F 5759
1932-11-25 F 5091
1932-11-26 M 10960
1932-11-27 M 2572
1932-12-01 F 7353
1932-12-10 M 6754
1933-01-03 F 2176
1933-01-05 F 9615
1933-02-07 M 9917
1933-02-15 M 10436
1933-02-19 M 9803
1933-02-22 F 9723
1933-03-01 M 9115
1933-03-03 M 3409
1933-03-03 F 8281
1933-03-10 M 593
1933-03-26 F 48
1933-03-29 M 11512
1933-04-08 F 7958
1933-04-16 F 1541
1933-04-16 M 455
1933-05-24 F 10243
1933-05-25 M 497
1933-05-31 F 12711
1933-06-03 M 2152
1933-06-07 F 6868
1933-06-20 M 729
1933-06-29 F 11214
1933-07-09 F 1047
1933-07-20 F 1824
1933-07-21 M 2272
1933-07-22 M 12648
1933-07-26 M 9378
1933-07-30 M 4757
1933-08-06 M 2137
1933-08-13 F 5326
1933-08-26 M 7191
1933-08-26 F 3122
1933-08-26 M 12531
1933-08-28 F 12610
1933-09-02 M 2783
1933-09-07 F 12102
1933-09-15 F 11099
1933-09-16 M 11590
1933-10-11 M 1449
1933-10-17 F 11801
1933-10-27 F 9281
1933-11-17 F 4789
1933-11-25 M 2366
1933-12-06 M 4370
1933-12-16 F 20
1933-12-21 F 6069
1933-12-23 F 5809
1934-01-09 M 7594
1934-01-15 F 1444
1934-01-20 F 1205
1934-01-26 M 3646
1934-02-03 F 7322
1934-02-05 F 3944
1934-02-08 F 6838
1934-02-09 M 9758
1934-02-12 F 3257
1934-02-22 M 12997
1934-03-11 F 10753
1934-03-12 M 5638
1934-03-18 F 3060
1934-03-29 F 3746
1934-04-07 M 4856
1934-04-08 F 8551
1934-04-12 M 3752
1934-04-15 M 12288
1934-04-15 F 9170
1934-04-16 M 6724
1934-04-18 F 6960
1934-04-24 M 8524
1934-04-28 F 6388
1934-05-09 F 796
1934-05-09 F 6489
1934-05-12 M 7081
1934-05-13 F 4598
1934-05-16 M 11132
1934-05-18 F 2182
1934-05-19 M 10808
1934-05-22 M 5433
1934-05-30 F 1352
1934-06-02 F 12826
1934-06-05 M 4050
1934-06-13 M 6069
1934-07-03 F 7884
1934-07-12 F 8536
1934-07-13 M 1315
1934-07-13 M 8311
1934-08-03 M 1003
1934-08-10 M 2155
1934-08-10 F 12896
1934-08-28 M 12921
1934-09-08 F 11068
1934-09-10 M 509
1934-09-10 M 11006
1934-09-15 F 9877
1934-10-10 M 11123
1934-10-16 M 9463
1934-10-16 F 9136
1934-10-19 M 12293
1934-10-20 M 6174
1934-10-23 M 9094
1934-10-31 M 2033
1934-11-24 F 12223
1934-12-02 F 10970
1934-12-04 M 165
1934-12-18 M 4822
1934-12-31 M 12150
1935-01-06 M 3344
1935-01-07 F 8800
1935-01-24 F 12668
1935-01-25 F 1138
1935-01-25 M 13100
1935-01-29 M 7164
1935-02-02 F 7030
1935-02-08 F 2208
1935-02-15 M 9458
1935-02-18 M 9796
1935-02-19 F 5871
1935-02-21 M 35
1935-03-11 F 3535
1935-03-20 M 11174
1935-03-30 M 8778
1935-03-31 F 2368
1935-04-08 M 4779
1935-05-15 M 7418
1935-05-19 M 5340
1935-05-30 M 10126
1935-05-31 F 4303
1935-06-10 F 3357
1935-06-13 F 7156
1935-06-15 F 12903
1935-06-22 M 639
1935-06-28 M 243
1935-07-05 M 3616
1935-07-10 M 6056
1935-07-11 F 7495
1935-07-29 F 3676
1935-07-31 M 3470
1935-08-14 M 5215
1935-09-01 F 1023
1935-09-04 F 12777
1935-09-05 M 196
1935-09-05 M 12150
1935-09-06 M 5578
1935-09-09 F 4112
1935-09-20 M 8823
1935-09-22 M 3687
1935-09-24 F 6129
1935-09-25 M 7058
1935-09-27 F 12996
1935-10-10 M 10742
1935-10-23 F 4402
1935-10-24 M 9323
1935-10-30 F 7302
1935-11-10 M 424
1935-11-11 F 1234
1935-11-11 F 6444
1935-11-14 M 3102
1935-11-22 F 6232
1935-11-27 M 5029
1935-12-09 F 9018
1935-12-13 F 9235
1935-12-25 F 1541
1935-12-26 M 8952
1935-12-30 M 4044
1936-01-03 M 11750
1936-01-16 F 7035
1936-01-19 F 6532
1936-01-25 M 2428
1936-02-07 F 10116
1936-02-19 F 12582
1936-02-19 M 5356
1936-02-26 F 11355
1936-03-10 M 8656
1936-03-14 M 3929
1936-03-16 M 12078
1936-03-21 F 5061
1936-04-05 F 2789
1936-04-10 F 12691
1936-04-16 F 6611
1936-04-17 M 3456
1936-04-20 M 2096
1936-05-06 M 6266
1936-05-16 M 13020
1936-05-27 M 1404
1936-06-01 M 10068
1936-06-01 M 1416
1936-06-07 M 5797
1936-06-17 F 45
1936-06-18 F 7170
1936-06-19 M 3109
1936-06-21 M 8920
1936-06-22 F 6974
1936-06-29 M 5396
1936-07-04 M 10457
1936-07-19 M 2075
1936-07-20 M 4261
1936-07-24 F 10731
1936-08-06 M 12069
1936-08-14 F 8755
1936-08-22 F 8662
1936-08-23 M 4146
1936-08-26 F 8416
1936-08-27 M 5726
1936-08-31 M 5294
1936-09-08 F 10332
1936-09-27 F 5295
1936-10-05 F 808
1936-10-06 M 1805
1936-10-09 M 1037
1936-10-18 F 2556
1936-10-29 M 4501
1936-11-02 F 1077
1936-11-04 M 648
1936-11-05 M 1219
1936-11-08 F 2071
1936-11-11 F 11111
1936-11-11 M 4062
1936-11-15 M 8077
1936-11-16 M 3004
1936-11-18 F 3129
1936-12-02 F 2408
1936-12-31 F 4568
1937-01-06 M 3865
1937-01-13 F 8137
1937-01-15 M 11278
1937-01-24 M 6496
1937-01-27 F 4996
1937-02-13 M 2749
1937-02-18 M 8596
1937-02-22 F 1954
1937-02-27 F 12324
1937-03-02 M 3350
1937-03-05 M 11382
1937-03-07 F 6481
1937-03-20 M 3330
1937-03-20 M 7531
1937-04-05 M 1060
1937-04-10 F 9376
1937-04-20 M 2015
1937-05-04 M 11306
1937-05-10 M 6599
1937-05-22 F 9870
1937-05-24 M 7680
1937-05-25 F 7271
1937-05-31 M 8373
1937-06-05 M 4517
1937-06-08 M 6113
1937-06-11 M 7006
1937-06-16 M 631
1937-06-16 M 4065
1937-06-21 M 7411
1937-06-23 M 6995
1937-06-24 M 9711
1937-07-01 M 4199
1937-07-13 M 9385
1937-07-16 M 9274
1937-07-26 F 12638
1937-08-12 M 3175
1937-08-17 M 274
1937-08-27 M 277
1937-09-02 F 9762
1937-09-13 F 4644
1937-09-24 M 12361
1937-10-01 M 12020
1937-10-11 F 8342
1937-10-21 M 3415
1937-11-01 F 3633
1937-11-04 M 2544
1937-11-07 F 10849
1937-11-08 M 6562
1937-11-08 M 9631
1937-11-11 F 3308
1937-11-12 M 5794
1937-11-20 F 7778
1937-11-25 M 5902
1937-12-17 M 3594
1937-12-17 F 6630
1937-12-24 M 12919
1937-12-27 F 9939
1938-01-01 F 481
1938-01-03 M 11674
1938-01-04 M 10437
1938-01-10 F 2003
1938-01-10 M 6821
1938-01-23 M 1172
1938-02-06 F 8163
1938-03-06 F 4687
1938-03-13 M 13042
1938-03-21 F 12442
1938-03-24 F 4242
1938-03-28 M 11587
1938-03-30 F 11636
1938-04-11 M 1516
1938-04-27 M 8411
1938-05-08 F 11374
1938-05-11 F 4018
1938-05-22 F 323
1938-06-03 F 12024
1938-06-11 M 2627
1938-06-11 F 8519
1938-06-12 F 9637
1938-06-16 M 8332
1938-06-18 F 2738
1938-07-01 M 7841
1938-07-04 M 8914
1938-07-08 F 2885
1938-07-29 M 1067
1938-08-10 F 9892
1938-08-19 M 12250
1938-08-25 F 11174
1938-08-26 M 13014
1938-09-12 F 7188
1938-09-16 F 6434
1938-09-18 F 3836
1938-09-24 F 3570
1938-09-24 M 1529
1938-09-30 M 6257
1938-10-05 F 274
1938-10-13 F 601
1938-10-16 M 12981
1938-10-16 M 5586
1938-11-05 F 9972
1938-11-06 F 8942
1938-11-11 F 2087
1938-11-29 F 8285
1938-12-06 M 6478
1938-12-10 F 2051
1938-12-25 M 3509
1939-01-02 F 2816
1939-01-16 M 11837
1939-01-20 M 11513
1939-01-29 M 7349
1939-01-31 M 4115
1939-02-03 M 3562
1939-02-04 F 12655
1939-02-07 F 4499
1939-02-11 M 5991
1939-02-15 F 7064
1939-03-14 M 11897
1939-03-26 F 11815
1939-04-01 M 8225
1939-04-11 M 9202
1939-04-14 M 5293
1939-04-21 F 1226
1939-04-21 M 6651
1939-04-30 F 4691
1939-05-05 M 10380
1939-05-19 M 2832
1939-05-22 M 6337
1939-05-31 F 11877
1939-06-03 F 10327
1939-06-06 F 6055
1939-06-15 M 3165
1939-06-18 F 6496
1939-06-19 F 13098
1939-07-08 M 3222
1939-07-15 M 8927
1939-07-18 M 2662
1939-07-24 M 3678
1939-08-08 F 10610
1939-08-25 M 2243
1939-08-25 F 8512
1939-08-29 M 9398
1939-09-05 M 7009
1939-09-09 F 4473
1939-09-13 F 9412
1939-09-17 M 9831
1939-09-19 F 9237
1939-09-23 M 757
1939-09-28 M 4998
1939-10-07 F 4575
1939-10-11 M 12193
1939-10-13 M 9712
1939-10-24 M 4538
1939-10-30 M 2677
1939-11-04 F 11432
1939-11-11 F 3991
1939-11-17 M 12299
1939-11-24 F 11666
1939-12-12 F 3463
1939-12-13 M 12784
1939-12-21 M 7402
1939-12-26 F 2014
1940-01-01 M 558
1940-01-03 F 1154
1940-01-07 F 4754
1940-01-09 M 4750
1940-01-19 M 1636
1940-01-26 F 10716
1940-02-06 M 2284
1940-02-07 F 7991
1940-02-11 F 6947
1940-02-14 M 38
1940-02-19 M 5843
1940-02-21 M 5662
1940-03-08 F 1134
1940-03-15 F 4322
1940-03-16 F 7790
1940-03-17 F 11845
1940-03-19 M 5477
1940-03-25 F 608
1940-03-30 M 12652
1940-04-15 M 792
1940-04-24 M 9509
1940-04-25 M 7910
1940-04-29 F 3753
1940-04-30 F 3925
1940-05-03 M 1302
1940-05-09 F 4412
1940-05-14 F 12248
1940-05-17 F 5330
1940-05-26 F 120
1940-05-30 M 8785
1940-06-07 M 3159
1940-06-09 M 1547
1940-06-22 F 12964
1940-06-26 F 7418
1940-07-03 F 11771
1940-07-04 M 1130
1940-07-10 M 10196
1940-07-12 M 1866
1940-08-08 M 5802
1940-08-12 M 10168
1940-08-16 M 3245
1940-08-22 M 1538
1940-08-28 M 3801
1940-08-28 M 7024
1940-09-01 M 9506
1940-09-03 F 11047
1940-09-04 M 10689
1940-09-08 M 3469
1940-09-20 F 11656
1940-09-22 M 6490
1940-10-13 M 11495
1940-10-19 F 5745
1940-12-03 M 3435
1940-12-18 F 12949
1940-12-27 M 5750
1941-01-06 F 12213
1941-01-19 M 16392
1941-02-20 F 24054
1941-02-20 F 14943
1941-02-25 M 24028
1941-03-01 M 15498
1941-03-14 M 28704
1941-03-18 M 14283
1941-03-19 F 46419
1941-03-24 F 3532
1941-04-05 M 17745
1941-04-08 M 27972
1941-04-18 F 13963
1941-05-04 M 40965
1941-05-07 M 42007
1941-05-10 F 17388
1941-05-14 M 20247
1941-05-14 F 15933
1941-05-23 F 22840
1941-05-24 M 34743
1941-06-12 M 1359
1941-06-19 M 31891
1941-06-23 M 31969
1941-07-05 F 9117
1941-07-19 F 11269
1941-07-19 F 45349
1941-08-04 M 43635
1941-08-16 M 26845
1941-08-19 M 2184
1941-08-25 M 315
1941-08-26 M 9670
1941-09-01 M 38286
1941-09-11 M 28186
1941-09-12 F 25917
1941-09-17 M 46074
1941-09-20 F 40906
1941-09-22 F 8350
1941-10-09 M 8383
1941-10-09 F 9126
1941-10-12 F 27027
1941-10-18 M 32634
1941-10-21 F 31261
1941-10-28 F 14134
1941-11-01 F 33148
1941-11-21 F 34123
1941-12-01 F 40393
1941-12-02 F 40534
1941-12-07 F 35469
1941-12-15 M 5326
1941-12-28 F 1251
1941-12-31 F 4108
1942-01-06 M 10284
1942-01-15 F 42277
1942-01-17 M 16533
1942-01-21 F 23386
1942-01-22 F 28903
1942-01-23 F 1462
1942-01-23 F 30595
1942-01-30 M 32913
1942-02-01 F 14133
1942-02-04 M 23938
1942-02-21 M 8899
1942-03-16 M 29782
1942-03-20 F 23028
1942-04-01 F 37698
1942-04-24 M 12150
1942-05-01 M 21399
1942-05-09 M 22137
1942-05-13 M 15547
1942-06-09 F 21690
1942-06-11 F 544
1942-06-13 M 4132
1942-06-27 M 21397
1942-07-11 M 5529
1942-07-29 M 11827
1942-07-29 F 35815
1942-07-31 M 27205
1942-08-03 M 38205
1942-08-07 F 25987
1942-08-11 M 14202
1942-08-13 M 30562
1942-08-16 M 30106
1942-08-18 F 10680
1942-08-25 M 16767
1942-09-10 F 42961
1942-09-17 M 44254
1942-10-03 M 11580
1942-10-03 F 5583
1942-10-10 M 24591
1942-10-11 M 21397
1942-10-21 M 534
1942-10-22 M 44124
1942-11-15 F 23449
1942-11-27 F 13989
1942-12-02 M 16861
1943-01-05 F 14448
1943-01-06 M 6303
1943-01-09 M 29590
1943-01-14 F 28425
1943-01-27 M 29667
1943-02-07 F 38451
1943-02-10 M 27919
1943-02-12 M 27315
1943-02-13 F 29094
1943-02-26 F 10741
1943-02-26 F 5112
1943-03-01 M 12445
1943-03-02 M 20895
1943-03-18 F 37422
1943-03-19 M 1896
1943-03-23 F 32566
1943-03-30 M 34591
1943-04-02 M 42130
1943-04-04 F 41611
1943-05-08 F 32071
1943-05-13 M 8670
1943-05-16 F 14352
1943-05-22 F 42778
1943-05-22 M 9247
1943-05-24 M 26730
1943-05-26 M 46485
1943-05-28 F 2700
1943-05-29 M 46290
1943-06-03 F 33919
1943-06-05 M 19074
1943-06-13 M 16063
1943-07-02 M 18306
1943-07-06 F 33048
1943-07-06 M 44211
1943-07-11 F 22888
1943-07-12 M 13114
1943-07-15 F 42595
1943-07-17 F 15852
1943-07-17 F 28447
1943-07-23 F 41509
1943-07-26 M 43423
1943-07-30 M 32319
1943-08-12 F 22734
1943-08-13 M 19512
1943-08-26 M 7653
1943-08-28 M 1627
1943-09-02 F 43420
1943-09-04 F 1452
1943-09-10 M 11572
1943-09-14 F 30585
1943-09-15 F 19854
1943-09-24 M 33900
1943-09-29 F 45490
1943-11-03 F 25497
1943-11-06 F 33736
1943-11-09 M 23458
1943-11-17 F 462
1943-11-17 M 26589
1943-11-19 M 26077
